label,rps_target,connections,trial,latency_us,percentile
vanilla,10000,10,1,625.000,0.049500
vanilla,10000,10,1,626.000,0.049666
vanilla,10000,10,1,626.000,0.049833
vanilla,10000,10,1,627.000,0.050000
vanilla,10000,10,1,627.000,0.050166
vanilla,10000,10,1,628.000,0.050333
vanilla,10000,10,1,628.000,0.050499
vanilla,10000,10,1,629.000,0.050666
vanilla,10000,10,1,629.000,0.050833
vanilla,10000,10,1,630.000,0.050999
vanilla,10000,10,1,630.000,0.051166
vanilla,10000,10,1,631.000,0.051333
vanilla,10000,10,1,632.000,0.051499
vanilla,10000,10,1,632.000,0.051666
vanilla,10000,10,1,633.000,0.051833
vanilla,10000,10,1,633.000,0.051999
vanilla,10000,10,1,633.000,0.052166
vanilla,10000,10,1,634.000,0.052333
vanilla,10000,10,1,634.000,0.052499
vanilla,10000,10,1,635.000,0.052666
vanilla,10000,10,1,635.000,0.052833
vanilla,10000,10,1,636.000,0.052999
vanilla,10000,10,1,636.000,0.053166
vanilla,10000,10,1,637.000,0.053333
vanilla,10000,10,1,637.000,0.053499
vanilla,10000,10,1,638.000,0.053666
vanilla,10000,10,1,638.000,0.053833
vanilla,10000,10,1,638.000,0.053999
vanilla,10000,10,1,639.000,0.054166
vanilla,10000,10,1,639.000,0.054333
vanilla,10000,10,1,640.000,0.054499
vanilla,10000,10,1,640.000,0.054666
vanilla,10000,10,1,641.000,0.054833
vanilla,10000,10,1,641.000,0.054999
vanilla,10000,10,1,642.000,0.055166
vanilla,10000,10,1,642.000,0.055333
vanilla,10000,10,1,643.000,0.055499
vanilla,10000,10,1,643.000,0.055666
vanilla,10000,10,1,644.000,0.055833
vanilla,10000,10,1,644.000,0.055999
vanilla,10000,10,1,645.000,0.056166
vanilla,10000,10,1,645.000,0.056333
vanilla,10000,10,1,646.000,0.056499
vanilla,10000,10,1,646.000,0.056666
vanilla,10000,10,1,647.000,0.056833
vanilla,10000,10,1,647.000,0.056999
vanilla,10000,10,1,648.000,0.057166
vanilla,10000,10,1,648.000,0.057333
vanilla,10000,10,1,649.000,0.057499
vanilla,10000,10,1,649.000,0.057666
vanilla,10000,10,1,650.000,0.057833
vanilla,10000,10,1,650.000,0.057999
vanilla,10000,10,1,650.000,0.058166
vanilla,10000,10,1,651.000,0.058333
vanilla,10000,10,1,652.000,0.058499
vanilla,10000,10,1,652.000,0.058666
vanilla,10000,10,1,653.000,0.058833
vanilla,10000,10,1,653.000,0.058999
vanilla,10000,10,1,653.000,0.059166
