label,rps_target,connections,trial,latency_us,percentile
kloudknox,10000,10,1,690.000,0.060333
kloudknox,10000,10,1,690.000,0.060499
kloudknox,10000,10,1,691.000,0.060666
kloudknox,10000,10,1,691.000,0.060833
kloudknox,10000,10,1,692.000,0.060999
kloudknox,10000,10,1,692.000,0.061166
kloudknox,10000,10,1,693.000,0.061333
kloudknox,10000,10,1,693.000,0.061499
kloudknox,10000,10,1,693.000,0.061666
kloudknox,10000,10,1,694.000,0.061833
kloudknox,10000,10,1,694.000,0.061999
kloudknox,10000,10,1,695.000,0.062166
kloudknox,10000,10,1,695.000,0.062333
kloudknox,10000,10,1,696.000,0.062499
kloudknox,10000,10,1,696.000,0.062666
kloudknox,10000,10,1,696.000,0.062833
kloudknox,10000,10,1,697.000,0.062999
kloudknox,10000,10,1,697.000,0.063166
kloudknox,10000,10,1,698.000,0.063333
kloudknox,10000,10,1,698.000,0.063499
kloudknox,10000,10,1,699.000,0.063666
kloudknox,10000,10,1,699.000,0.063833
kloudknox,10000,10,1,699.000,0.063999
kloudknox,10000,10,1,700.000,0.064166
kloudknox,10000,10,1,700.000,0.064333
kloudknox,10000,10,1,700.000,0.064499
kloudknox,10000,10,1,701.000,0.064666
kloudknox,10000,10,1,701.000,0.064833
kloudknox,10000,10,1,701.000,0.064999
kloudknox,10000,10,1,702.000,0.065166
kloudknox,10000,10,1,702.000,0.065333
kloudknox,10000,10,1,702.000,0.065499
kloudknox,10000,10,1,703.000,0.065666
kloudknox,10000,10,1,703.000,0.065833
kloudknox,10000,10,1,704.000,0.065999
kloudknox,10000,10,1,704.000,0.066166
kloudknox,10000,10,1,704.000,0.066333
kloudknox,10000,10,1,705.000,0.066499
kloudknox,10000,10,1,705.000,0.066666
kloudknox,10000,10,1,706.000,0.066833
kloudknox,10000,10,1,706.000,0.066999
kloudknox,10000,10,1,706.000,0.067166
kloudknox,10000,10,1,707.000,0.067333
kloudknox,10000,10,1,707.000,0.067499
kloudknox,10000,10,1,708.000,0.067666
kloudknox,10000,10,1,708.000,0.067833
kloudknox,10000,10,1,708.000,0.067999
kloudknox,10000,10,1,709.000,0.068166
kloudknox,10000,10,1,709.000,0.068333
kloudknox,10000,10,1,710.000,0.068499
kloudknox,10000,10,1,710.000,0.068666
kloudknox,10000,10,1,710.000,0.068833
kloudknox,10000,10,1,711.000,0.068999
kloudknox,10000,10,1,711.000,0.069166
kloudknox,10000,10,1,711.000,0.069333
kloudknox,10000,10,1,712.000,0.069499
kloudknox,10000,10,1,712.000,0.069666
kloudknox,10000,10,1,713.000,0.069833
kloudknox,10000,10,1,713.000,0.069999
kloudknox,10000,10,1,713.000,0.070166
kloudknox,10000,10,1,714.000,0.070333
kloudknox,10000,10,1,714.000,0.070499
kloudknox,10000,10,1,714.000,0.070666
kloudknox,10000,10,1,715.000,0.070833
kloudknox,10000,10,1,715.000,0.070999
kloudknox,10000,10,1,716.000,0.071166
kloudknox,10000,10,1,716.000,0.071333
kloudknox,10000,10,1,716.000,0.071499
kloudknox,10000,10,1,717.000,0.071666
kloudknox,10000,10,1,717.000,0.071833
kloudknox,10000,10,1,717.000,0.071999
kloudknox,10000,10,1,718.000,0.072166
kloudknox,10000,10,1,718.000,0.072333
kloudknox,10000,10,1,719.000,0.072499
kloudknox,10000,10,1,719.000,0.072666
kloudknox,10000,10,1,719.000,0.072833
kloudknox,10000,10,1,720.000,0.072999
kloudknox,10000,10,1,720.000,0.073166
kloudknox,10000,10,1,721.000,0.073333
kloudknox,10000,10,1,721.000,0.073499
kloudknox,10000,10,1,721.000,0.073666
